[Exp4_v2, block_sparse_spike, eps=0.0100, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=spectralstore_thinking, repeat=2/5] done in 9.1s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=spectralstore_thinking, repeat=3/5] done in 8.5s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=spectralstore_thinking, repeat=4/5] done in 8.4s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=spectralstore_thinking, repeat=5/5] done in 8.5s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, block_sparse_spike, eps=0.0100, method=direct_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=spectralstore_thinking, repeat=1/5] done in 8.4s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=spectralstore_thinking, repeat=2/5] done in 10.5s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=spectralstore_thinking, repeat=3/5] done in 9.4s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=spectralstore_thinking, repeat=4/5] done in 9.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=spectralstore_thinking, repeat=5/5] done in 9.2s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0010, method=direct_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=spectralstore_thinking, repeat=1/5] done in 9.2s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=spectralstore_thinking, repeat=2/5] done in 9.5s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=spectralstore_thinking, repeat=3/5] done in 8.8s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=spectralstore_thinking, repeat=4/5] done in 9.2s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=spectralstore_thinking, repeat=5/5] done in 9.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0020, method=direct_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=spectralstore_thinking, repeat=1/5] done in 10.8s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=spectralstore_thinking, repeat=2/5] done in 11.5s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=spectralstore_thinking, repeat=3/5] done in 11.4s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=spectralstore_thinking, repeat=4/5] done in 11.7s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=spectralstore_thinking, repeat=5/5] done in 11.1s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0050, method=direct_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=spectralstore_thinking, repeat=1/5] done in 11.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=sym_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=direct_svd, repeat=1/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=spectralstore_thinking, repeat=2/5] done in 9.8s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=sym_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=direct_svd, repeat=2/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=spectralstore_thinking, repeat=3/5] done in 10.4s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=sym_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=direct_svd, repeat=3/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=spectralstore_thinking, repeat=4/5] done in 11.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=sym_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=direct_svd, repeat=4/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=spectralstore_thinking, repeat=5/5] done in 11.8s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=sym_svd, repeat=5/5] done in 0.3s
[Exp4_v2, targeted_cross_community, eps=0.0100, method=direct_svd, repeat=5/5] done in 0.3s
wrote experiments/results/exp4_v2/residual_query_robustness/raw_records.csv
wrote experiments/results/exp4_v2/residual_query_robustness/summary.csv
